Landmark,Alternate Names,Construction,Destruction,Maps Photo Should Appear on,Construction or Demolition Notes,Manner of Destruction,Test Photo File Name,Image File Name,Image Type,Year of Image,Use Image?,Usage notes,Image Download Location,Image Credit at Download Location,Download URL,Description,X Location,Y Location,Notes,Alternate Image 1 File Name,Alternate Image 1 Image Type,Year of Alternate Image 1,Use Alternate Image 1?,Alternate Image 1 Usage Notes,Alternate Image 1 Download Location,Alternate Image 1 Credit at Download Location,Alternate Image 1 Download URL,Alternate Image 2 File Name,Alternate Image 2 Image Type,Year of Alternate Image 2,Use Alternate Image 2?,Alternate Image 2 Usage Notes,Alternate Image 2 Download Location,Alternate Image 2 Credit at Download Location,Alternate Image 2 Download URL,x,y
Standard Furniture Factory,,,,,,,testimage3.png,standard-furniture-factory.jpg,photo,,,,Nashville History on Facebook,,https://www.facebook.com/nashvillehistory/photos/bc.AbpirvXapx1FoxEq_ooLmN2NaHjU4NwCvCHY2r0scjpPgOAMW7ZzOF_bwN9P7DJkbOVsHKxM64_c8jzthAPBdWy1iL-E7tJUSfFOZPFOX5yoHTu7NSgkBKrsiDZ-lBID7YocUiLVb_UI2Tn1nSqyhLWF/912015232327718/?opaqueCursor=AboB-8b8IrdI_y36BLDoc18J2ixFz0D6_epjbhwpJpgidrjJ2urkl9ke1Z54ZS6HjjpDVNr6q8pUP7RuEPzcQ8Di3kkCBWhGP8nU6pAVPzxST6eV2h4zxEQmy0jAchbclAYAPkw9oV2kw9lcZ1Ci87sN3u4fFjjqOzOwmiu_OKtATbV5KA_WJhiV7N5mEwyWEZTrpVgwtMroQYsPEfQs_wLXR3JiymfEWep_iB6VW_Ja3cTDk_yJGbFqSuSoCbb673uBmMXEhwmKuLtf3WBvbM6YRJWRoLvO6vtJBHnTRnMGfPdyvH2Iu7zEJSo75FHaQZADRJo3vu6M7sCCEL5S7-becs0fEihgELf2mIQrBwquj5PQDDol0hYtLIcJCFNQNIpLrAx4SKgWnuWkcYhbDthYZCqWWGbbsdq_tokcgeYOUrrS8N8P5kUsuLfBIThgsJuBpMpNnyv7oJwfIuJxsTH-8-yJi93AH65313lCNI9-phm9KCzNDeq2B3o3l8Eg4w99tlVsZvimLnp6xHrm42P7Bwrpxi8WuyQaQre9hOSp7vy2RHVy09Lje4MjYHKKxOM,,,,,,,,,,,,,,,,,,,,,,
Stahlman Building,,"1906",extant,"1929, 1952",,,testimage2.png,stahlman-building-ca1915.jpg,tinted photo,ca 1915,yes,before 1928,Historic Nashville,,https://historicnashville.wordpress.com/2009/01/26/the-stahlman-building/,"The Stahlman Building was built in 1907 by businessman Edward Stahlman (1843�1930), a newspaper publisher, railroad executive, and real estate investor. The Stahlman is one of four buildings making up the historical financial district centered on the intersection of 3rd Avenue and Union Street.","5130","5488",,,,,,,,,,,,,,,,,,53.168183,44.776733
State Hospital for the Insane,,,,,,,testimage3.png,state-hospital-for-the-insane.png,photo,,,,LoC,,https://www.loc.gov/resource/pga.02790/,,,,Twelfth Avenue South and Division Street?,,,,,,,,,,,,,,,,,,
State Capitol,,"1859",extant,"1871, 1903, 1929, 1952",,,testimage1.png,state-capitol-1860s.jpg,photo,1860s,yes,before 1928,TSLA blog,,https://tslablog.blogspot.com/2013/03/tennessees-state-capitol-has-unique.html?m=1,"Tennessee was admitted as a state in 1796, and in the early years the legislature moved among various cities. Finally in 1843 the legislators selected Nashville as the permanent state capital and Cedar Knob, the highest point inside the city limits at the time, as the site of the capitol building. William Strickland (1788�1854) of Philadelphia designed the building, and construction lasted from 1845 to 1859. Slave, convict and commercial labor were all used in construction. 
Strickland chose to top the structure with a replica of the Choragic Monument of Lysicrates in Athens, making Tennessee's capitol one of 13 state capitols without a dome. The legislature met for the first time in the building in 1853 while it was still being built. During their occupation of Nashville, the Union Army fortified the hilltop structure and designated it Fort Johnson, after military governor and future president Andrew Johnson. ","5017","5476",,state-capitol-1939.png,photo,"1939 ",yes,"1928 or later, copyright unknown",TSLA,State Planning Commission,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=32611,state-capitol,,ca 1904,yes,before 1928,Nashville History on Facebook,Artwork of Nashville,https://nashvillehistory.blogspot.com/2015/09/nashville-points-of-interest-1905.html,52.015284,44.896631
State Penitentiary (1st),,"1831",,"1871",,demolished,testimage2.png,state-penitentiary-1st-2.jpg,photo,,yes,before 1928,Tennessee State Penitentiary (book),,https://www.google.com/books/edition/Tennessee_State_Penitentiary/u3SNBAAAQBAJ?hl=en&gbpv=1&dq=tennessee+penitentiary+1831+OR+1830&printsec=frontcover,"Tennessee's first penitentiary opened with 200 beds, an infirmary, storerooms, workshops and a warden's residence. The prison was expanded a number of times but could never keep up with the inmate population. The Union Army used it as a military prison during the Civil War. The section of 15th Avenue between Charlotte Pike and Broadway was known as Stonewall Avenue because it passed in front of the stone walls of the prison.","4834","5646",,state-penitentiary-1st-ca1831.jpg,illustration,circa 1831,yes,before 1928,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=26591,,,,,,,,,50.151835,43.158589
State Planning Commission Office Building,,,,,,,testimage1.png,state-planning-commission-office-building-1945.png,photo,"1945 ",,,TeVA,,https://teva.contentdm.oclc.org/digital/collection/p15138coll28/id/648/rec/4,,,,,,,,,,,,,,,,,,,,,,
State Penitentiary (2nd),,"1898",extant,"1903, 1929, 1952",,extant,testimage4.png,state-penitentiary-2nd.png,photo,,yes,"1928 or later, copyright-free",LoC,,https://www.loc.gov/resource/hhh.tn0035.photos/?sp=4,"The state's second penitentiary replaced an earlier facility built in 1831 at Stonewall Avenue and Church Street. The new prison was imposing Gothic building with 800 cells and 20-foot-high, three-foot-thick walls. Overcrowding and other problems at the penitentiary led to a class action suit that ultimately forced its closure in 1992.","3552","5247",,,,,,,,,,,,,,,,,,37.067000,47.200000
Streetcar Barns,,"1906",1950s,"1929, 1952",,demolished,testimage1.png,streetcar-barns.jpg,photo,,yes,"date, copyright and author uncertain",Nashville History blog,Metro Archives,https://nashvillehistory.blogspot.com/2022/01/the-trolley-barns-that-never-were.html,The streetcar barns serviced streetcars from the time of their construction until 1941 when streetcar service was discontinued. At that time they were converted to buses. The building was demolished in the 1950s to clear a path for James Robertson Parkway. The Northcap Center (formerly Parkway Towers) now stands on the site of the streetcar barns.,,,,,,,,,,,,,,,,,,,,,
Sunnyside Mansion,,1840s,extant,"1871, 1903, 1929, 1952",,,testimage3.png,sunnyside-mansion-1975.jpg,photo,"1975",,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/7150/rec/9,,,,3000 Granny White Pike,,,,,,,,,,,,,,,,,,
Sulphur Dell,,"1927","1969","1929, 1952",,demolished,testimage2.png,sulphur-dell-ca1957.png,photo,ca 1957,yes,"1928 or later, author and copyright uncertain",Nashville Library,,https://cdm15769.contentdm.oclc.org/digital/collection/nr/id/96/rec/3,"Rounders and cricket were played in the low field adjacent to the sulphur spring in the 1850s, and when Northern soldiers occupied Nashville in 1862, they played an early version of baseball in what was known as Sulphur Spring Park. In 1885 Nashville acquired its first professional baseball team, and the city built a grandstand in the same field. In 1894 an exhibition game between the Nashville Tigers and the New Orleans Pelicans was played at night, the first ever night baseball game in Nashville. In 1890 the ballpark was renamed AthletIc Park. In 1908 sportswriter Grantland Rice (1880�1954) began referring to it as Sulphur Springs Dell, which he later shortened to Sulphur Dell, and that name was eventually adopted by the ballpark. 

Numerous additions and improvements were made to the facility over the years, but one problem persisted. The grandstands had been built along the north and east sides of the park and home plate faced southwest. This orientation forced batters to look into the afternoon sun. At the conclusion of the 1926 season, the ballpark was demolished and rotated 180�, allowing batters to stand with their backs to the sun. This new layout exposed a steep incline, especially in right field, that had formerly been covered by the bleachers and the grandstand. Thereafter right fielders playing in Sulphur Dell were nicknamed mountain goats. The lighting was upgraded in 1931, allowing the first non-exhibition night games to be played at the field.

Teams that played at Sulphur Dell include:

�  Nashville Americans (1885�1886)
�  Nashville Blues (1887)
�  Nashville Tigers (1893�1894)
�  Nashville Seraphs (1895)
�  Nashville Centennials (1897)
�  Nashville Vols (1901�1961, 1963)
�  Nashville Standard Giants/Elite Giants (1920�1928)
�  Nashville Stars (1942, 1950�1951)
�  Nashville Black Vols/Cubs (1945�1951)","4994","5325",,,,,,,,,,,,,,,,,,51.777773,46.436316
Tarbox School (1st),,"1886","1932","1903, 1929",,demolished,testimage2.png,tarbox-school-1st-ca1932.jpg,photo,ca 1930,ask,"1928 or later, copyright uncertain",Nashville Library,Wiles,https://cdm15769.contentdm.oclc.org/digital/collection/nr/id/2266/rec/1,"Tarbox School, named in honor of Nashville educator Luther G. Tarbox (1832�1878), was initially located in a frame building on 17th between Hayes Street and West End Avenue, but moved to this building on its completion in 1886. A fire in 1932 destroyed the tower and the front of the building shown. It was rebuilt as a two-story building.","4820","5807","Nine years later, the city of Nashville was ready to open an institution that would help shape the lives of generations: the Tarbox School. The Daily American had the story on August 31, 1886:

TARBOX SCHOOL.The New West Nashville Building Completed by the Contractors.

It Will Probably Be Turned Over to the City To-day�Description of the Edifice�Cost and Seating Capacity.

Tarbox School was one of Nashville's most respected public grammar schools that originally opened in 1880 in a one-story frame house on 17th Avenue between Hayes Street and West End Avenue. In 1886, the school expanded to an impressive three-story brick school with a multi-story clock and bell tower, built at 1803 Broadway. ",,,,,,,,,,,,,,,,,50.012116,41.516086
"Tarbox School, (2nd)",,"1933","1964","1952",,demolished,testimage1.png,tarbox-school-2nd-1949.jpg,photo,"1949",ask,"1928 or later, copyright uncertain",Nashville Library,City Property Photographs,https://digital.library.nashville.org/digital/collection/nr/id/145/,"A fire in 1932 destroyed the tower and the front of the 1886 Tarbox School. It was rebuilt as a two-story building, shown above. The school closed in 1960.","4825","5803",,,,,,,,,,,,,,,,,,50.063042,41.556997
Tennessee School for the Blind,Claiborne Mansion,,,,,,,tennessee-school-for-the-blind.jpg,tinted photo,"1909",yes,before 1928,Ebay,,https://www.ebay.com/itm/141898981171,"Micajah Greene Lewis Claiborne (1808�1876) served for 23 years in the US Navy, rising to the rank of lieutenant. Sometime after his 1850 retirement, he built this mansion on Rolling Mill Hill. In 1853 the state erected a building for the Tennessee School for the Blind directly across Hermitage Avenue from Claiborne's mansion. During the Civil War the school had been used as a hospital and was badly damaged by a fire. In 1873 Claiborne's house was offered for sale and was bought by John M. Lea (1818�1903), a lawyer, judge, and former mayor of Nashville. He immediately donated it to the School for the Blind, which was still in need of a permanent building. The school remained in the old Claiborne mansion until 1952 when it moved to its current home on Stewarts Ferry Pike.",,,,tennessee-school-for-the-blind-1905.jpg,photo,"1905",yes,before 1928,Nashville History blog,Southern Education Association,https://nashvillehistory.blogspot.com/2015/09/nashville-points-of-interest-1905.html,tennessee-school-for-the-blind-1882.jpg,photo,"1882",yes,before 1928,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=4719,,
Third Baptist Church,,"1906",extant,"1929, 1952",,,testimage3.png,third-baptist-church.jpg,photo,, ,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3721,,,,906 and 908 Monroe Street.,,,,,,,,,,,,,,,,,,
TMD Moss & Sons Building,,"1879",extant,"1903, 1929, 1952",,,testimage4.png,tmd-moss-and-sons-building-1970.jpg,photo,"1970", ,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=27834,,,,,,,,,,,,,,,,,,,,,,
Tennessee Supreme Court Building,,"1937",extant,"1952",,,testimage4.png,tennessee-supreme-court-1938.png,photo,"1938 ",ask,"1928 or later, copyright uncertain",TeVA,State Planning Commission,https://teva.contentdm.oclc.org/digital/collection/p15138coll28/id/6596/rec/1,"Prior to 1937 the Tennessee Supreme Court held sessions in the state capitol. The new building allowed the court to consolidate its courtroom, offices, and law library in one location.","5003","5494",,tennessee-supreme-court-ca1940.jpg,tinted photo,ca 1940,ask,"1928 or later, copyright unknown",Nashville Library,Capitol News Co.,https://digital.library.nashville.org/digital/collection/nr/id/763/rec/257,,,,,,,,,51.872821,44.712722
Trimble School,,"1852",,,,,,trimble-school.jpg,photo,,,,Pinterest,,https://www.pinterest.com/pin/279012139388444333/,,,,,,,,,,,,,,,,,,,,,,
Traveler's Rest,,"1799",extant,"1871, 1903, 1929, 1952",,,testimage2.png,travellers-rest.png,photo,,yes,"1928 or later, copyright-free",LoC,,https://www.loc.gov/resource/hhh.tn0036.photos/?sp=1,"Traveler's Rest was the home of planter and judge John Overton (1766�1833). The location chosen for the house was at one time a large Mississippian village, and during construction so many skulls were uncovered that Overton called his house Golgotha. The plantation covered over a 1000 acres and was worked by 80 slaves. The house served as General Hood's headquarters in December 1864 during the preparations for his army's assault on Nashville.","5373","7524",,,,,,,,,,,,,,,,,,55.686000,24.015000
Tulane Hotel,,"1894","1957","1903, 1929, 1952",,demolished,testimage3.png,tulane-hotel.jpg,photo,,yes,before 1928,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3723,"At the time of its opening in 1894, the hotel was named the Nicholson Hotel after the boarding house that had occupied the site for several decades prior. Two years later it was renamed for a relative of the owner. The Nashville Equal Suffrage League was organized in a meeting at the hotel in September 1911. The first major recording studio in Nashville, Castle Studio, was opened inside the hotel by three WSM engineers in 1947.","5025","5564",northeast corner of 8th and Church,,,,,,,,,,,,,,,,,52.098578,43.999212
Tulip Grove,,"1836",extant,"1871, 1903, 1929, 1952",,,testimage1.png,tulip-grove-2.png,photo,,yes,"date, copyright and author uncertain",TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=19380,"Tulip Grove was built by the nephew of Andrew Jackson, Andrew Jackson Donelson (1799�1871), in 1836. He named it Poplar Grove, but changed it to Tulip Grove five years later, supposedly at the suggestion of President Martin Van Buren while he was visiting the plantation.","8303","4414",,tulip-grove-1.png,photo,,yes,"date, author and copyright unknown",TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=19381,,,,,,,,,85.514101,55.801705
Tulip Street Methodist Church,,"1892",extant,"1903, 1929, 1952",,,testimage2.png,tulip-street-methodist-church.jpg,photo,,yes,before 1928,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3724,"Tulip Street Methodist was founded in 1859. This building, erected in 1892, replaced a church a block away on the east side of South 5th Street, then Tulip Street, between Fatherland and Russell Streets. The East Nashville fire of 1916 barely missed the church, taking buildings immediately across the street to its east and north. In 1998 a tornado heavily damaged the east wall of the sanctuary, which was subsequently repaired. The building is now an event space.","5413","5356",,,,,,,,,,,,,,,,,,56.052422,46.129390
University of Nashville Medical Building (1st),,,,,,assumed demolished,testimage1.png,u-of-nashville-medical-building-1.jpg,photo,,,,Vanderbilt Library,,https://www.library.vanderbilt.edu/specialcollections/history-of-medicine/exhibits/biopages/jlindsley.php,,,,"The drawing on this page is of the Medical College at the University of Nashville.  In 1850 the University of Nashville organized a Medical Department, located between Second and Fourth Avenues, which became the first medical college in Nashville.  In 1874 the University of Nashville Medical School and Vanderbilt Medical School merged together, existing under joint management until 1895, when both schools moved to separate locations.  Forms part of the William A. Eichbaum S",,,,,,,,,,,,,,,,,,
Two Rivers Mansion,,"1859",extant,"1871, 1903, 1929, 1952",,,testimage3.png,two-rivers-mansion.jpg,photo,"1978",yes,"date, copyright and author uncertain",Historic Structures,,http://www.historic-structures.com/tn/donelson/mcgavock_house.php,"David McGavock (1826�1896) built Two Rivers Mansion on a 1100-acre plantation inherited by his wife, William Elizabeth Harding (1832�1895), when they were married in 1850. The couple lived in the Buchanan-Harding House, an adjacent Federal style house, while they built the mansion. The house was owned by three generations of the McGavock family until it was sold to the city of Nashville and the estate converted into Two Rivers Park.","6951","4927",,,,,,,,,,,,,,,,,,71.732724,50.539207
University of Nashville Medical Building (2nd),,,,,,assumed demolished,testimage4.png,u-of-nashville-medical-building-2.jpg,photo,,yes,,Battle of Nashville Trust,,https://www.battleofnashvilletrust.org/features/medicine/,More research,,,,,,,,,,,,,,,,,,,,,
University of Nashville Medical Building (3rd),,,,,,assumed demolished,testimage3.png,u-of-nashville-medical-building-3.jpg,photo,,yes,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3649,More research,,,Broad Street between 6th and 7th Avenues,,,,,,,,,,,,,,,,,,
Commerce Union Bank,Union Bank and Trust,"1905",extant,"1929, 1952",,,testimage1.png,ubt-cub-ca1921.jpg,photo,ca 1921, ,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3697,,,,301 Union Street,ubt-cub-ca1910.jpg,,ca 1910,,,Nashville Library,,https://digital.library.nashville.org/digital/collection/nr/id/2294/,,,,,,,,,,
Union Barracks,,circa 1862,,,,assumed demolished,testimage2.png,union-barracks.png,photo,,yes,,Tennessean,,https://www.tennessean.com/picture-gallery/life/2014/01/24/jefferson-street-over-the-years/4830513/,,,,,,,,,,,,,,,,,,,,,,
Litterer Laboratories,University of Nashville Medical Building (4th),"1895",extant,"1903, 1929, 1952",,,testimage2.png,litterer-labs.jpg,illustration,,yes,,Nashville Library Blog,,https://library.nashville.org/blog/2018/09/nashvilles-first-schools-and-public-school-system,More research,,,Elm and 2nd,,,,,,,,,,,,,,,,,,
Union Station,,"1900",extant,"1903, 1929, 1952",,,testimage3.png,union-station-ca1900.png,photo,ca 1900,yes,before 1928,LoC,,https://www.loc.gov/resource/det.4a08979/,"The Nashville, Chattanooga & St. Louis (NC&StL) Railroad was chartered in 1845 by the state of Tennessee and based in Nashville. The Louisville & Nashville Railroad was chartered in 1850 by the Commonwealth of Kentucky and was based in Louisville. The railroads were competitors before, during, and after the Civil War, but in 1880 the L&N executed a hostile acquisition of the NC&StL. Anger in Nashville at the takeover of the hometown NC&StL was sufficient that the L&N let its new acquisition continue as an independent subsidiary for the next 77 years. 
By the 1880s both railroads were outgrowing their depots in Nashville. In 1898 the city of Nashville, the NC&StL and the L&N entered into an agreement that allowed the railroads to build a new depot at Broadway and 10th Avenue. Called Union Station because it was used by two railroads and so, in a sense, represented the union of their rail networks, the new train station opened in 1900. The NC&StL and the L&N used their clout to prevent the upstart Tennessee Central from using Union Station. The Tennessee Central made do with a separate depot near the foot of the Shelby Street Bridge.
In 1955 freight traffic was moved to Radnor Yards, and two years later the NC&StL and L&N officially merged, closing the NC&StL offices in Nashville. Passenger trains between Florida and Chicago, one each way per day, continued to use the depot until 1979, when 120 years of passenger rail ended in Nashville. After sitting vacant for a few years, the station was restored and reopened as a hotel in 1986.","5008","5675",,,,,,,,,,,,,,,,,,51.927297,42.866641
Union Station Trainshed,,"1900","2001","1903, 1929, 1952",,demolished,testimage4.png,union-station-trainshed.png,photo,,yes,"1928 or later, copyright-free",LoC,,https://www.loc.gov/resource/hhh.tn0039.photos/?sp=16,"The trainshed was located immediately behind Union Station and was built at the same time. At the time of its construction, it was the longest single-span, gable-roofed structure in the US. Gradual deterioration and the failure to find a financially viable preservation plan led to the structure's demolition in 2000. The area that the trainshed covered is now a parking lot.","5012","5684","The magnificent passenger train shed, which measured 250 by 500 feet with a clear span of 200 feet, was an engineering marvel for its time. In 1900 it was the longest single-span, gable roof structure in the country. After a fire damaged the shed, and no viable preservation alternatives were identified, the shed was razed in late 2000.
Spanning a length of 200 feet, the Nashville Trainshed was the longest of the trainsheds built by the L&N in the 1890s during their improvement phase. This made it the longest single-span, gable roof structure constructed in the Unites States, surpassing the St. Paul Union Depot trainshed by eleven feet. The Nashville trainshed epitomized the height of the gable roof type and its metal-framed construction made significant contributions to modern building practices.",,,,,,,,,,,,,,,,,51.968273,42.774930
Union Stockyards Building,,"1920",extant,"1929, 1952",,,testimage1.png,union-stockyards-building-1920.jpg,photo,"1920",no,before 1928,In the Vintage Kitchen,,https://inthevintagekitchen.com/tag/nashville-union-stock-yards/,"Businessman James E. Caldwell's (1854�1944) plan for Union Stockyards was to create a single marketplace for the livestock trade in Nashville, which previously had been spread among several smaller lots. Construction began on the 10-acre facility in North Nashville in 1919. In addition to the barns and livestock pens, the stockyards included a brick building for the stockyard offices where business could be conducted year-round. When the stockyards closed in 1974, the barns and livestock pens were torn down, but the main building was left intact. Five years after the closure of the livestock business, the Stock-Yard Restaurant opened in the old building. The restaurant closed in 2015, and the building has since been incorporated into an apartment complex.","5051","5318",,,,,,,,,,,,,,,,,,52.359073,46.508977
University School,Wallace University School,,,"1903",,assumed demolished,testimage2.png,university-school-1905.jpg,photo,,yes,before 1928,Nashville History blog,,https://nashvillehistory.blogspot.com/2015/09/nashville-points-of-interest-1905.html,"The Wallace University School, initially known as just the University School, was founded in 1886. Virginian Clarence B. Wallace (1859-1950) was its principal for its entire 56-year existence. Two years after its founding the school occupied the 206-208 South High Street building and remained there until 1914, when it moved to 2006 West End Avenue.",,,"6th Avenue South (1908 map)
The Wallace University School was founded in 1885 to serve as a preparatory school for Vanderbilt University. The
founders called Clarence B. Wallace, a graduate of Hampden-Sydney and the University of Virginia, to come as headmaster. Mr. Wallace retained this position until the school was closed in 1942. Originally located on 6th Avenue South, the school moved to West End Avenue across from the Cathedral of the Incarnation.",university-school-ca1910.jpg,photo,circa 1910,yes,before 1928,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=25829,,,,,,,,,,
Vanderbilt Central Library,,"1941",extant,"1952",,,testimage2.png,vanderbilt-central-library-1951.png,photo,"1951 ",yes,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=16124,,,,,,,,,,,,,,,,,,,,,,
Upper Wharf,,ca 1790,"1921","1871, 1903",,demolished,testimage3.png,upper-wharf.jpg,photo,,yes,before 1928,Wikipedia,,"https://en.wikipedia.org/wiki/History_of_Nashville,_Tennessee","After failing to reach the city the previous year due to low water at the Harpeth Shoals, in March 1819 the General Jackson became the first steamboat to arrive in Nashville. Steamboat traffic in Nashville increased rapidly: from 3 arrivals in 1819 to 33 five years later and 112 five years after that. By 1828 the city felt the need to improve what must have been a rough and muddy landing and to construct a proper wharf at the foot of Broad Street, grading it to a smooth incline and paving it with rock. Despite declining riverboat traffic, the wharf was replaced by the six-story River and Rail Terminal in 1922.","5198","5545",,,,,,,,,,,,,,,,,,53.862918,44.196840
Vanderbilt Law and Dental Building,,"1889",early 1970s,"1903, 1929, 1952",,assumed demolished,testimage1.png,vanderbilt-law-and-dental-building.jpg,photo,, ,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3589,,,,"Chamber of Commerce building, located at 315 Fourth Avenue",,,,,,,,,,,,,,,,,,
Vanderbilt Medical Building,,,,,,assumed demolished,testimage2.png,vanderbilt-medical-building.png,photo,,,,Nashville Academy of Medicine,,https://nashvillemedicine.org/timeline/,,,,"This building on the old south campus served the Medical School until 1925.

An exterior view of the Medical Department of Vanderbilt University, circa 1904. The school was located at 5th Avenue S & Elm Street, Nashville, Tennessee. This building was the site of Vanderbilt's medical department from the time of its split with the University of Nashville in 1895, until it moved to the South Campus in 1911, at which point this building was used as a hospital and clinic.",,,,,,,,,,,,,,,,,,
Vanderbilt Gymnasium,,"1880",extant,"1903, 1929, 1952",,,testimage4.png,vanderbilt-gymnasium.png,photo,circa 1970,yes,"1928 or later, copyright-free",LoC,,https://www.loc.gov/resource/hhh.tn0041.photos/?sp=2,"When the old Vanderbilt gym opened, just seven years after the university's founding, it contained a wide assortment of workout equipment and a track suspended from the ceiling. It was considered was one of the best-equipped gymnasiums in the South. ","4646","5886","The Old Gym was originally a gymnasium, later served as the Fine Arts Building, and currently houses the university's admissions office.", ,,,,,,,,,,,,,,,,48.238726,40.706439
Vine Street Christian Church,,"1889",,"1903, 1929, 1952",,assumed demolished,testimage1.png,vine-street-christian-church.jpg,photo,,yes,"date, copyright and author uncertain",TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3748,"The Baptist Church of Nashville was founded in 1820, and very quickly assembled the resources needed to build an impressive brick edifice on Church Street where the public now library stands. In 1826 Philip S. Fall (1798�1890), a Campbellite or follower of the Restoration Movement, was hired by the church. He had by 1828 brought most of the congregation around to the new doctrine, and in that year a resolution was adopted nullifying the church's previous constitution and rules of order. Thus, the Baptist Church of Nashville became Spring Street (modern Church Street) Christian Church, and with a change of address in 1889, Spring Street Christian Church became Vine Street (modern 7th Avenue) Christian Church. In 1957 the congregation moved to a new building on Harding Pike. The 7th Avenue church was demolished in the mid 1950s for a parking lot, and the site is now part of the downtown public library building. ","5060","5577",,,,,,,,,,,,,,,,,,52.455848,43.867387
Waggoner Hotel,,,,"1903",,demolished,testimage4.png,waggoner-hotel.jpg,photo,ca1908,yes,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3569,,,,,,,,,,,,,,,,,,,,,,
Vine Street Temple,,"1876","1955","1903, 1929, 1952",,demolished,testimage3.png,vine-street-temple-1908.jpg,photo,,yes,"date, copyright and author uncertain",TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=27981,"The Vine Street Temple was Nashville's first synagogue. One of the building's nine Russian-style onion or bud domes was struck by lightning shortly after the congregation left for the suburbs in 1955, and the building was sold and demolished shortly thereafter. The downtown public library's parking garage now stands on the site.","5062","5582",,,,,,,,,,,,,,,,,,52.476346,43.816432
Ward Seminary Central Building,,,,,,,testimage3.png,ward-seminary-central-building-1905.jpg,photo,"1905",yes,,Nashville History blog,,https://nashvillehistory.blogspot.com/2015/09/nashville-points-of-interest-1905.html,,,,169 Rosa L Parks Boulevard,ward-seminary-central-building.jpg,,,,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=28009,,,,,,,,,,
Watkins Block,,"1875",extant,"1903, 1929, 1952",,,testimage2.png,watkins-block-1970.jpg,photo,, ,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=27818,,,,,,,,,,,,,,,,,,,,,,
War Memorial Building,,"1925",extant,"1929, 1952",,,testimage2.png,war-memorial-building-1940.png,photo,"1940 ",yes,"1928 or later, author and copyright uncertain",Nashville Library,,https://cdm15138.contentdm.oclc.org/digital/collection/p15138coll28/id/6613,"The first building to house state offices outside of the Capitol, the War Memorial Building was built to honor the Tennessee veterans of WWI. The Grand Ole Opry performed here from 1939 to 1943 before moving to the Ryman Auuditorium.","5030","5516",,war-memorial-building-1925.jpg,photo,"1925",yes,before 1928,Quarries and Beyond,,https://quarriesandbeyond.org/states/in/images/in-furst-kerber_co_tenn_war_memorial_stone_nov_1925_p668.jpg,,,,,,,,,52.148660,44.488921
Watson House,,,,,,assumed demolished,testimage4.png,watson-house.jpg,photo,ca1875, ,,TSLA,,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3693,,,,,,,,,,,,,,,,,,,,,,
Watkins Institute,,"1885","1956","1903, 1929, 1952",,demolished,testimage3.png,watkins-institut.jpg,photo,,yes,date and copyright uncertain,TSLA,Calvert,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3767,"Samuel Watkins (circa 1794�1880) had grown quite wealthy manufacturing bricks, and when he died in 1880, he left $100,000 and some downtown property for the establishment of a school for adult education. Watkins stipulated that the ground floor be rented out to provide money to support the school. Over the years the building was home to the Nashville Electric Service, Flagg Brothers Shoe Store, Joy's Flowers, an HG Hill grocery, Joseph Morse & Co., and Mills Bookstore. The Watkins Institute Building was razed in 1956 and replaced two years later by the WT Grant Building, with the Watkins Institute occupying the 2nd and 3rd floors. The Nashville Public Library now occupies the site.","5065","5561",southwest corner of 6th Avenue and Church Street,,,,,,,,,,,,,,,,,52.506544,44.030697
Wesley Hall,,"1880","1932","1903, 1929",,burned,testimage3.png,wesley-hall-1880s.jpg,photo,1880s,,,Vanderbilt,,https://www.vanderbilt.edu/trees/magnolias-by-wesley-hall/,,,,,,,,,,,,,,,,,,,,,,
West Meade,,"1886",extant,"1871, 1903, 1929, 1952",,,testimage1.png,west-meade.jpg,photo,,,,Wikipedia,Kenton Dickerson,https://en.wikipedia.org/wiki/West_Meade,,,,,,,,,,,,,,,,,,,,,,
